Originally known as PHOTO MATERIAL distributed by Hachinohe Firmware Systems under the name HFS Stock, the imagemore photo material series is the exact same series redistributed.

NAMES OF ORIGINAL VOLUMES

PHOTO MATERIAL 1	STONE.1
PHOTO MATERIAL 2	STONE.2
PHOTO MATERIAL 3	WOOD.1
PHOTO MATERIAL 4	STEEL.1
PHOTO MATERIAL 5	EUROPE.1
PHOTO MATERIAL 6	HOKKAIDO.1
PHOTO MATERIAL 7	PEARL
PHOTO MATERIAL 8	CHRISTMAS.1
PHOTO MATERIAL 9	BODY.L1
PHOTO MATERIAL 10	BODY.M1
PHOTO MATERIAL 11	MICRO.1
PHOTO MATERIAL 12	MICRO.2
PHOTO MATERIAL 13	MARBLE
PHOTO MATERIAL 14	SABI.1
PHOTO MATERIAL 15	SABI.2
PHOTO MATERIAL 16	CLOTH.1
PHOTO MATERIAL 17	METAL.1
PHOTO MATERIAL 18	CLOTH.2
PHOTO MATERIAL 19	WAVE.1
PHOTO MATERIAL 20	EUROPE.2
PHOTO MATERIAL 21	TOKYO FROM THE SKY.1
PHOTO MATERIAL 22	PAPER.1
PHOTO MATERIAL 23	LEAF.1
PHOTO MATERIAL 24	SKY.1
PHOTO MATERIAL 25	VOLCANO
PHOTO MATERIAL 26	STONE.3
PHOTO MATERIAL 27	PAPER.2
PHOTO MATERIAL 28	LEAF.2
